Reference, Value, Footprint, Datasheet
"J3","RJ45","Connectors:RJ45_8",""
"J2","LED Connector","Sockets_MOLEX_KK-System:Socket_MOLEX-KK-RM3-96mm_Lock_3pin_straight",""
"U1","TL074","SMD_Packages:SOIC-14_N",""
"R1","100k","Resistors_SMD:R_0805_HandSoldering",""
"J1","input","Wire_Connections_Bridges:WireConnection_2.50mmDrill",""
"R2","10k","Resistors_SMD:R_0805_HandSoldering",""
"R4","10k","Resistors_SMD:R_0805_HandSoldering",""
"R5","10k","Resistors_SMD:R_0805_HandSoldering",""
"R6","10k","Resistors_SMD:R_0805_HandSoldering",""
"D1","1N4148","Diodes_SMD:D_SOD-123",""
"D2","1N4148","Diodes_THT:D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",""
"R3","10k","Resistors_SMD:R_0805_HandSoldering",""
"C1","100n","Capacitors_SMD:C_0805_HandSoldering",""
"U2","TC1044S","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm",""
"C4","10u","Capacitors_THT:CP_Radial_D4.0mm_P2.00mm",""
"C5","10u","Capacitors_THT:CP_Radial_D4.0mm_P2.00mm",""
"C6","100u","Capacitors_THT:CP_Radial_D4.0mm_P2.00mm",""
"L1","Ferrite_Bead","Inductors_THT:L_Axial_L6.6mm_D2.7mm_P2.54mm_Vertical_Vishay_IM-2",""
"R13","1M","Resistors_SMD:R_0805_HandSoldering",""
"R8","10k","Resistors_SMD:R_0805_HandSoldering",""
"D4","D","Diodes_SMD:D_SOD-123",""
"D3","D","Diodes_SMD:D_SOD-123",""
"R9","10k","Resistors_SMD:R_0805_HandSoldering",""
"R10","10k","Resistors_SMD:R_0805_HandSoldering",""
"R11","10k","Resistors_SMD:R_0805_HandSoldering",""
"R12","1M","Resistors_SMD:R_0805_HandSoldering",""
"R7","100k","Resistors_SMD:R_0805_HandSoldering",""
"C9","100n","Capacitors_SMD:C_0805_HandSoldering",""
"C10","10uf","Capacitors_THT:CP_Radial_D6.3mm_P2.50mm",""
"C3","100n","Capacitors_SMD:C_0805_HandSoldering",""
"C8","10u","Capacitors_THT:CP_Radial_D6.3mm_P2.50mm",""
"C11","100n","Capacitors_SMD:C_0805_HandSoldering",""
"C12","100n","Capacitors_SMD:C_0805_HandSoldering",""
